tool_name,tool_version,output_name,output_extension,output_edam_format
prinseq,0.20.4,good_sequences_2_singletons_file,data,format_1915
prinseq,0.20.4,rejected_sequence_2_file,data,format_1915
tp_sort_header_tool,1.1.1,outfile,data,format_1915
tp_awk_tool,1.1.1,outfile,data,format_1915
gff3.rebase,1.2,output,gff3,format_1975
tp_grep_tool,1.1.1,output,data,format_1915
tp_sed_tool,1.1.1,output,data,format_1915
tp_unfold_column_tool,1.1.1,outfile,data,format_1915
column_remove_by_header,0.0.1,output_tabular,tabular,format_3475
column_order_header_sort,0.0.1,output_tabular,tabular,format_3475
replace_column_with_key_value_file,0.1,outfile_replace,txt,format_2330
addName,0.1.1,output,tabular,format_3475
tp_sorted_uniq,1.1.0,outfile,data,format_1915
tp_easyjoin_tool,1.1.1,output,data,format_1915
tp_head_tool,1.1.0,outfile,data,format_1915
tp_cat,0.1.0,out_file1,data,format_1915
tp_multijoin_tool,1.1.1,outfile,tabular,format_3475
tp_tail_tool,1.1.0,outfile,data,format_1915
tp_cut_tool,1.1.0,output,tabular,format_3475
tp_text_file_with_recurring_lines,1.1.0,outfile,txt,format_2330
tp_sort_rows,1.1.0,outfile,data,format_1915
tp_tac,1.1.0,outfile,data,format_1915
gops_coverage_1,1.0.0,output,interval,format_3475
regex_replace,1.0.0,outfile,txt,format_2330
tables_arithmetic_operations,1.0.0,outputFile1,tabular,format_3475
gops_join_1,1.0.0,output,interval,format_3475
get_flanks1,1.0.0,out_file1,interval,format_3475
mergeCols1,1.0.1,out_file1,tabular,format_3475
Cut1,1.0.2,out_file1,tabular,format_3475
Convert characters1,1.0.0,out_file1,tabular,format_3475
createInterval,1.0.0,out_file1,bed,format_3003
ChangeCase,1.0.0,out_file1,tabular,format_3475
Paste1,1.0.0,out_file1,data,format_1915
Show tail1,1.0.0,out_file1,data,format_1915
trimmer,0.0.1,out_file1,data,format_1915
wc_gnu,1.0.0,out_file1,tabular,format_3475
secure_hash_message_digest,0.0.1,out_file1,tabular,format_3475
gffcompare,0.11.2,transcripts_stats,txt,format_2330
gffcompare,0.11.2,transcripts_loci,tabular,format_3475
gffcompare,0.11.2,transcripts_tracking,tabular,format_3475
gffcompare,0.11.2,transcripts_combined,gtf,format_2306
gffcompare,0.11.2,transcripts_annotated,gtf,format_2306
filter_by_fasta_ids,2.1,output,fasta,format_1929
filter_by_fasta_ids,2.1,discarded,fasta,format_1929
bg_column_arrange_by_header,0.2,output,tabular,format_3475
xpath,1.0.0,output,xml,format_2332
sample_seqs,0.2.5,output_file,data,format_1915
seq_filter_by_id,0.2.7,output_pos,data,format_1915
seq_filter_by_id,0.2.7,output_neg,data,format_1915
sqlite_to_tabular,0.0.1,query_results,tabular,format_3475
find_in_reference,0.0.3,found,data,format_1915
find_in_reference,0.0.3,novel,data,format_1915
query_tabular,3.0.0,sqlitedb,sqlite,format_3621
query_tabular,3.0.0,output,tabular,format_3475
Filter1,1.1.0,out_file1,data,format_1915
sort1,1.1.0,out_file1,data,format_1915
gtf_filter_by_attribute_values_list,0.1,output,gtf,format_2306
collection_column_join,0.0.3,tabular_output,tabular,format_3475
collection_column_join,0.0.3,script_output,txt,format_2330
datamash_ops,1.1.0,out_file,tabular,format_3475
datamash_reverse,1.1.0,out_file,tabular,format_3475
datamash_transpose,1.1.0,out_file,tabular,format_3475
datamash_ops,1.0.6,out_file,tabular,format_3475
join1,2.1.2,out_file1,tabular,format_3475
Grouping1,2.1.4,out_file1,tabular,format_3475
gffread,2.2.1.2,output_gff,gff3,format_1975
gffread,2.2.1.2,output_gtf,gtf,format_2306
gffread,2.2.1.2,output_exons,fasta,format_1929
gffread,2.2.1.2,output_cds,fasta,format_1929
gffread,2.2.1.2,output_pep,fasta,format_1929
gffread,2.2.1.2,output_dupinfo,txt,format_2330
tab2fasta,1.1.0,output,fasta,format_1929
fasta2tab,1.1.0,output,tabular,format_3475
tabular_to_fastq,1.0.0,output_file,fastq,format_1930
msms_extractor,1.0.0,output,mzml,format_3244
bax2bam,0.0.9+galaxy0,output_scrap,bam,format_2572
bax2bam,0.0.9+galaxy0,output_subread,bam,format_2572
bax2bam,0.0.9+galaxy0,output_hqregion,bam,format_2572
bax2bam,0.0.9+galaxy0,output_lqregion,bam,format_2572
bax2bam,0.0.9+galaxy0,output_polymeraseread,bam,format_2572
crossmap_wig,0.3.7,output,bigwig,format_3006
crossmap_wig,0.3.7,output2,bedgraph,format_3583
crossmap_vcf,0.3.7,output,vcf,format_3016
crossmap_vcf,0.3.7,output_unmapped,vcf,format_3016
crossmap_gff,0.3.7,output,gff,format_2305
crossmap_bed,0.3.7,output_valid,bed,format_3003
crossmap_bed,0.3.7,output_failed,bed,format_3003
crossmap_bed,0.3.7,output_combined,bed,format_3003
crossmap_bam,0.3.7,output,bam,format_2572
graphicsmagick_image_montage,1.3.31+galaxy1,output,png,format_3603
graphicsmagick_image_convert,1.3.31+galaxy1,output,png,format_3603
thermo_raw_file_converter,1.1.10,output,mzml,format_3244
thermo_raw_file_converter,1.1.10,output_metadata,txt,format_2330
galaxy_intermine_exchange,0.0.1,intermine_output,intermine_tabular,format_3475
gfa_to_fa,0.1.0,out_fa,fasta,format_1929
gffcompare_to_bed,0.2.0,output,bed,format_3003
idconvert,3.0.0,output,mzid,format_3247
msconvert,3.0.19052.0,output,mzml,format_3244
msconvert,3.0.19052.0,output_refinement,tsv,format_3475
msconvert_subset,0.3.0,output,mzml,format_3244
idconvert,3.0.0,output,mzid,format_3247
mz_to_sqlite,2.0.2,sqlite_db,mz.sqlite,format_3621
bed_to_protein_map,0.1.0,output,tabular,format_3475
gtftobed12,357,bed_file,bed12,format_3586
gtftobed12,357,transcript_info_file,tabular,format_3475
resize_coordinate_window,1.0.1,output,gff,format_2305
ucsc-twobittofa,357,fasta_output,fasta,format_1929
idpquery,3.0.11392.0,output,tabular,format_3475
bam_to_scidx,1.0.1,output,scidx,format_3475
map_peptides_to_bed,0.1.1,mapped_peptides,bed,format_3003
bigwig_to_bedgraph,0.1.0,output,bedgraph,format_3583
bp_genbank2gff3,1.0,gff3,gff3,format_1975
axt_to_concat_fasta,1.0.0,out_file1,fasta,format_1929
axt_to_fasta,1.0.0,out_file1,fasta,format_1929
axt_to_lav_1,1.0.0,lav_file,lav,format_3014
axt_to_lav_1,1.0.0,seq_file1,fasta,format_1929
axt_to_lav_1,1.0.0,seq_file2,fasta,format_1929
bed2gff1,2.0.0,out_file1,gff,format_2305
gff2bed1,1.0.1,out_file1,bed,format_3003
lav_to_bed1,1.0.0,bed_file1,bed,format_3003
lav_to_bed1,1.0.0,bed_file2,bed,format_3003
MAF_To_BED1,1.0.0,out_file1,bed,format_3003
MAF_To_Interval1,1.0.0,out_file1,interval,format_3475
MAF_To_Fasta1,1.0.1,out_file1,fasta,format_1929
wiggle2simple1,1.0.0,out_file1,interval,format_3475
Sff_extractor,1.0.1,out_file1,fastqsanger,format_1932
Sff_extractor,1.0.1,out_file2,xml,format_2332
Sff_extractor,1.0.1,out_file3,fasta,format_1929
Sff_extractor,1.0.1,out_file4,qual,format_3606
gtf2bedgraph,1.0.0,out_file1,bedgraph,format_3583
wig_to_bigWig,1.1.1,out_file1,bigwig,format_3006
bed_to_bigBed,1.0.1,out_file1,bigbed,format_3004
liftOver1,1.0.6,out_file1,data,format_1915
liftOver1,1.0.6,out_file2,data,format_1915
trim_reads,1.0.0,output1,fasta,format_1929
quality_score_distribution,1.0.2,output1,png,format_3603
fasta_compute_length,1.0.2,output,tabular,format_3475
fasta_concatenate0,0.0.0,out_file1,fasta,format_1929
fastq_trimmer,1.1.1,output_file,data,format_1915
fastq_quality_trimmer,1.1.1,output_file,data,format_1915
fastq_to_fasta_python,1.1.1,output_file,fasta,format_1929
fastq_stats,1.1.1,output_file,tabular,format_3475
fastq_to_tabular,1.1.1,output_file,tabular,format_3475
fastq_combiner,1.1.1,output_file,fastqsanger,format_1932
fastq_filter,1.1.1,output_file,data,format_1915
fastq_groomer,1.1.1,output_file,fastqsanger,format_1932
fastq_manipulation,1.1.1,output_file,data,format_1915
fastq_masker_by_quality,1.1.1,output_file,data,format_1915
fastq_paired_end_deinterlacer,1.1.2,output1_pairs_file,data,format_1915
fastq_paired_end_deinterlacer,1.1.2,output2_pairs_file,data,format_1915
fastq_paired_end_deinterlacer,1.1.2,output1_singles_file,data,format_1915
fastq_paired_end_deinterlacer,1.1.2,output2_singles_file,data,format_1915
fastq_paired_end_interlacer,1.2.0.1,outfile_pairs,data,format_1915
fastq_paired_end_interlacer,1.2.0.1,outfile_singles,data,format_1915
fastq_paired_end_interlacer,1.2.0.1,outfile_pairs_from_coll,data,format_1915
fastq_paired_end_interlacer,1.2.0.1,outfile_singles_from_coll,data,format_1915
fastq_paired_end_joiner,2.0.1.1,output_file,data,format_1915
fastq_paired_end_splitter,1.1.1,output1_file,data,format_1915
fastq_paired_end_splitter,1.1.1,output2_file,data,format_1915
cshl_fastx_renamer,0.0.14+galaxy0,output,data,format_1915
cshl_fastx_reverse_complement,1.0.2,output,data,format_1915
cshl_fastx_trimmer,1.0.2,output,data,format_1915
cshl_fastq_to_fasta,1.0.2,output,fasta,format_1929
cshl_fastx_quality_statistics,1.0.1,output,txt,format_2330
cshl_fastq_quality_boxplot,1.0.1,output,png,format_3603
cshl_fastq_quality_converter,1.0.1,output,fastq,format_1930
cshl_fastq_quality_filter,1.0.2,output,data,format_1915
cshl_fasta_formatter,1.0.1,output,fasta,format_1929
cshl_fasta_nucleotides_changer,1.0.2,output,data,format_1915
exonerate,2.4.0,output_gff,gff,format_2305
exonerate,2.4.0,output_ali,txt,format_2330
cshl_fastx_collapser,1.0.1,output,fasta,format_1929
fastqc,0.72+galaxy1,html_file,html,format_2331
fastqc,0.72+galaxy1,text_file,txt,format_2330
fasta_filter_by_length,1.1,output,fasta,format_1929
trimmomatic,0.36.4,fastq_out_r1_paired,data,format_1915
trimmomatic,0.36.4,fastq_out_r2_paired,data,format_1915
trimmomatic,0.36.4,fastq_out_r1_unpaired,data,format_1915
trimmomatic,0.36.4,fastq_out_r2_unpaired,data,format_1915
trimmomatic,0.36.4,fastq_out,data,format_1915
umi_tools_count,0.5.5.1,out_counts,tabular,format_3475
umi_tools_extract,0.5.5.1,out,data,format_1915
umi_tools_extract,0.5.5.1,out1,data,format_1915
umi_tools_extract,0.5.5.1,out2,data,format_1915
umi_tools_extract,0.5.5.1,out_log,txt,format_2330
sickle,1.33.2,output_single,data,format_1915
sickle,1.33.2,output_combo,data,format_1915
sickle,1.33.2,output_combo_single,data,format_1915
sickle,1.33.2,output_paired1,data,format_1915
sickle,1.33.2,output_paired2,data,format_1915
sickle,1.33.2,output_paired_single,data,format_1915
sickle,1.33.2,output_paired_coll_single,data,format_1915
seqtk_sample,1.3.2,default,data,format_1915
umi_tools_group,0.5.5.0,output,bam,format_2572
umi_tools_group,0.5.5.0,group_out,tabular,format_3475
umi_tools_whitelist,0.5.5.0,out_whitelist,tabular,format_3475
umi_tools_whitelist,0.5.5.0,out_log,txt,format_2330
umi_tools_whitelist,0.5.5.0,out_html_report,html,format_2331
umi_tools_whitelist,0.5.5.0,out_thresh,tabular,format_3475
fastp,0.19.5+galaxy1,out1,data,format_1915
fastp,0.19.5+galaxy1,out2,data,format_1915
fastp,0.19.5+galaxy1,report_html,html,format_2331
fastp,0.19.5+galaxy1,report_json,json,format_3464
flash,1.2.11.4,merged_reads,data,format_1915
flash,1.2.11.4,unmerged_reads_f,data,format_1915
flash,1.2.11.4,unmerged_reads_r,data,format_1915
flash,1.2.11.4,merged_paired_reads,data,format_1915
flash,1.2.11.4,unmerged_paired_reads_f,data,format_1915
flash,1.2.11.4,unmerged_paired_reads_r,data,format_1915
flash,1.2.11.4,hist,tabular,format_3475
flash,1.2.11.4,log,txt,format_2330
flash,1.2.11.4,histogram,txt,format_2330
flash,1.2.11.4,hist_in,tabular,format_3475
flash,1.2.11.4,hist_out,tabular,format_3475
flash,1.2.11.4,histogram_in,txt,format_2330
flash,1.2.11.4,histogram_out,txt,format_2330
cutadapt,1.16.5,out1,fastqsanger,format_1932
cutadapt,1.16.5,out2,fastqsanger,format_1932
cutadapt,1.16.5,report,txt,format_2330
cutadapt,1.16.5,info_file,txt,format_2330
cutadapt,1.16.5,rest_output,fastqsanger,format_1932
cutadapt,1.16.5,wild_output,txt,format_2330
cutadapt,1.16.5,untrimmed_output,fastqsanger,format_1932
cutadapt,1.16.5,untrimmed_paired_output,fastqsanger,format_1932
cutadapt,1.16.5,too_short_output,fastqsanger,format_1932
cutadapt,1.16.5,too_short_paired_output,fastqsanger,format_1932
cutadapt,1.16.5,too_long_output,fastqsanger,format_1932
cutadapt,1.16.5,too_long_paired_output,fastqsanger,format_1932
seqtk_comp,1.3.1,default,tabular,format_3475
seqtk_mutfa,1.3.1,default,data,format_1915
seqtk_hety,1.3.1,default,tabular,format_3475
seqtk_cutN,1.3.1,default,data,format_1915
seqtk_mergefa,1.3.1,default,data,format_1915
seqtk_trimfq,1.3.1,default,data,format_1915
seqtk_fqchk,1.3.1,default,tabular,format_3475
seqtk_randbase,1.3.1,default,data,format_1915
seqtk_subseq,1.3.1,default,data,format_1915
seqtk_dropse,1.3.1,default,data,format_1915
seqtk_mergepe,1.3.1,default,data,format_1915
seqtk_seq,1.3.3,default,data,format_1915
seqtk_listhet,1.3.1,default,tabular,format_3475
mqc,1.9,MappingQC_output,html,format_2331
fasta-stats,1.0.1,stats,tabular,format_3475
filtlong,0.2.0,outfile,fastqsanger,format_1932
cshl_fastx_clipper,1.0.3,output,data,format_1915
cshl_fastx_nucleotides_distribution,1.0.1,output,png,format_3603
cshl_fastx_barcode_splitter,1.0.1,summary,tabular,format_3475
cshl_fastx_artifacts_filter,1.0.1,output,data,format_1915
bctools_extract_crosslinked_nucleotides,0.2.1,crosslinking_coordinates,bed,format_3003
atactk_trim_adapters,0.1.6,output1,fastq.gz,format_1930
atactk_trim_adapters,0.1.6,output2,fastq.gz,format_1930
bctools_convert_to_binary_barcode,0.2.2,barcodes_ry,fastq,format_1930
bctools_extract_barcodes,0.2.2,reads_cleaned,fastq,format_1930
bctools_extract_barcodes,0.2.2,extracted_barcodes,fastq,format_1930
bctools_extract_alignment_ends,0.2.2,alignment_ends,bed,format_3003
bctools_merge_pcr_duplicates,0.2.2,events,bed,format_3003
bctools_remove_spurious_events,0.2.2,events_filtered,bed,format_3003
bctools_remove_tail,0.2.2,default,fastq,format_1930
je_clip,1.2.1,BARCODE_RESULT_FILENAME,tabular,format_3475
je_clip,1.2.1,OF1,data,format_1915
je_clip,1.2.1,OF2,data,format_1915
je_demultiplex,1.2.1,DEMULTIPLEX_RESULTS,tabular,format_3475
je_demultiplex,1.2.1,METRICS_FILE_NAME,tabular,format_3475
je_demultiplex,1.2.1,BARCODE_DIAG_FILE,tabular,format_3475
je_markdupes,1.2.1,outFile,bam,format_2572
je_markdupes,1.2.1,metrics_file,txt,format_2330
je_demultiplex_illu,1.2.1,DEMULTIPLEX_RESULTS,tabular,format_3475
je_demultiplex_illu,1.2.1,METRICS_FILE_NAME,tabular,format_3475
je_demultiplex_illu,1.2.1,BARCODE_DIAG_FILE,tabular,format_3475
umi_tools_dedup,0.5.3.0,output,bam,format_2572
tabular_to_fastq,1.1.1,output_file,fastq,format_1930
fasta_merge_files_and_filter_unique_sequences,1.2.0,output,fasta,format_1929
align_back_trans,0.0.10,out_nuc_align,data,format_1915
seq_filter_by_mapping,0.0.6,output_pos,data,format_1915
seq_filter_by_mapping,0.0.6,output_neg,data,format_1915
trim_galore,0.4.3.1,trimmed_reads_single,data,format_1915
trim_galore,0.4.3.1,trimmed_reads_pair1,data,format_1915
trim_galore,0.4.3.1,trimmed_reads_pair2,data,format_1915
trim_galore,0.4.3.1,unpaired_reads_1,data,format_1915
trim_galore,0.4.3.1,unpaired_reads_2,data,format_1915
trim_galore,0.4.3.1,report_file,txt,format_2330
lighter,1.0,outfile,data,format_1915
fastq_join,1.1.2-806,outputJoined,data,format_1915
fastq_join,1.1.2-806,outputUnmatched1,data,format_1915
fastq_join,1.1.2-806,outputUnmatched2,data,format_1915
fastq_join,1.1.2-806,outputStitchLengthReport,tabular,format_3475
solid2fastq,1.0.0,out_file1,fastqcssanger,format_1930
solid2fastq,1.0.0,out_file2,fastqcssanger,format_1930
solid_qual_stats,1.0.0,output1,txt,format_2330
solid_qual_boxplot,1.0.0,output,png,format_3603
fastqc,0.72+galaxy1,html_file,html,format_2331
fastqc,0.72+galaxy1,text_file,txt,format_2330
multiqc,1.7,html_report,html,format_2331
multiqc,1.7,log,txt,format_2330
trimmomatic,0.36.5,fastq_out_r1_paired,data,format_1915
trimmomatic,0.36.5,fastq_out_r2_paired,data,format_1915
trimmomatic,0.36.5,fastq_out_r1_unpaired,data,format_1915
trimmomatic,0.36.5,fastq_out_r2_unpaired,data,format_1915
trimmomatic,0.36.5,fastq_out,data,format_1915
fastq_stats,1.1.1,output_file,tabular,format_3475
multiqc,1.7,html_report,html,format_2331
multiqc,1.7,log,txt,format_2330
qualimap_counts,2.2.2c,output_html,html,format_2331
samtools_fixmate,1.9,output,qname_sorted.bam,format_2572
samtools_fastx,1.9+galaxy1,nonspecific,fasta,format_1929
samtools_fastx,1.9+galaxy1,forward,fasta,format_1929
samtools_fastx,1.9+galaxy1,reverse,fasta,format_1929
samtools_fastx,1.9+galaxy1,singletons,fasta,format_1929
samtools_fastx,1.9+galaxy1,output,fasta,format_1929
samtools_fastx,1.9+galaxy1,i1,fasta,format_1929
samtools_fastx,1.9+galaxy1,i2,fasta,format_1929
samtools_merge,1.9,output,bam,format_2572
samtools_markdup,1.9+galaxy2,output,bam,format_2572
samtools_markdup,1.9+galaxy2,stats_output,txt,format_2330
qualimap_bamqc,2.2.2c+galaxy1,output_html,html,format_2331
qualimap_bamqc,2.2.2c+galaxy1,output_per_base_coverage,tsv,format_3475
samtools_view,1.9,outputsam,data,format_1915
samtools_view,1.9,invoutputsam,data,format_1915
samtools_view,1.9,outputcnt,txt,format_2330
qualimap_multi_bamqc,2.2.2c,output_html,html,format_2331
samtools_stats,2.0.2+galaxy2,output,tabular,format_3475
samtools_flagstat,2.0.3,output1,txt,format_2330
samtools_idxstats,2.0.3,output,tabular,format_3475
samtool_filter2,1.8+galaxy1,output1,sam,format_2573
samtools_split,1.9,output,bam,format_2572
samtools_bedcov,2.0.2,output,tabular,format_3475
samtools_depth,1.9,output,tabular,format_3475
samtools_sort,2.0.3,output1,bam,format_2572
samtools_calmd,2.0.2,calmd_output,bam,format_2572
samtools_mpileup,2.1.4,output_file_pu,pileup,format_3015
samtools_rmdup,1.0.1,output1,bam,format_2572
ngsutils_bam_filter,0.5.9,outfile,bam,format_2572
samtools_phase,2.0.1,phase_sets,txt,format_2330
samtools_phase,2.0.1,phase0,bam,format_2572
samtools_phase,2.0.1,phase1,bam,format_2572
samtools_phase,2.0.1,chimera,bam,format_2572
bam_to_sam,2.0.1,output1,sam,format_2573
samtools_reheader,2.0.1,output,bam,format_2572
samtools_slice_bam,2.0.1,output_bam,bam,format_2572
samtools_rmdup,2.0.1,output1,bam,format_2572
bamFilter,2.4.1,out_file2,txt,format_2330
bamFilter,2.4.1,out_file1,bam,format_2572
bamSplit,2.4.0,report,txt,format_2330
bamtools,2.4.0,out_file1,txt,format_2330
sam_to_bam,2.1.1,output1,bam,format_2572
tag_pileup_frequency,1.0.0,output1,tabular,format_3475
pileup_interval,1.0.2,output,tabular,format_3475
sam_merge2,1.2.0,output1,bam,format_2572
bamhash,1.1,output,txt,format_2330
samtools_sort,1.0.2,output1,bam,format_2572
sam_pileup,1.1.2,output1,tabular,format_3475
samtools_filter,1.1.1,output1,data,format_1915
gffcompare,0.11.2,transcripts_stats,txt,format_2330
gffcompare,0.11.2,transcripts_loci,tabular,format_3475
gffcompare,0.11.2,transcripts_tracking,tabular,format_3475
gffcompare,0.11.2,transcripts_combined,gtf,format_2306
gffcompare,0.11.2,transcripts_annotated,gtf,format_2306
bcftools_csq,1.9+galaxy1,output_file,vcf,format_3016
bcftools_cnv,1.9+galaxy1,output_cn,tabular,format_3475
bcftools_cnv,1.9+galaxy1,output_summary,tabular,format_3475
bcftools_cnv,1.9+galaxy1,output_plots,html,format_2331
bcftools_consensus,1.9+galaxy1,output_file,fasta,format_1929
bcftools_consensus,1.9+galaxy1,chain_file,txt,format_2330
bcftools_norm,1.9+galaxy1,output_file,vcf,format_3016
bcftools_call,1.9+galaxy1,output_file,vcf,format_3016
snippy,3.2+galaxy1,snpvcf,vcf,format_3016
snippy,3.2+galaxy1,snpgff,gff3,format_1975
snippy,3.2+galaxy1,snptab,tabular,format_3475
snippy,3.2+galaxy1,snpsum,tabular,format_3475
snippy,3.2+galaxy1,snplog,txt,format_2330
snippy,3.2+galaxy1,snpalign,fasta,format_1929
snippy,3.2+galaxy1,snpconsensus,fasta,format_1929
snippy,3.2+galaxy1,snpsdepth,tabular,format_3475
snippy,3.2+galaxy1,snpsbam,bam,format_2572
snippy,3.2+galaxy1,outdir,zip,format_2333
varscan_somatic,2.4.3.3,output,vcf,format_3016
varscan_somatic,2.4.3.3,output_snp,vcf,format_3016
varscan_somatic,2.4.3.3,output_indel,vcf,format_3016
vcffilter2,1.0.0_rc1+galaxy2,out_file1,vcf,format_3016
varscan_mpileup,2.4.3.1,output,vcf,format_3016
varscan_copynumber,2.4.3.2,output,interval,format_3475
vcfselectsamples,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfannotategenotypes,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfflatten2,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfcommonsamples,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfannotate,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfvcfintersect,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfbreakcreatemulti,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfallelicprimitives,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfgeno2haplo,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcffixup,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfgenotypes,1.0.0_rc1+galaxy0,out_file1,tabular,format_3475
vcfbedintersect,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfrandomsample,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfhethom,1.0.0_rc1+galaxy0,out_file1,tabular,format_3475
vcfsort,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfprimers,1.0.0_rc1+galaxy0,out_file1,fasta,format_1929
vcfcombine,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcfleftalign,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
vcf2tsv,1.0.0_rc1+galaxy0,out_file1,tabular,format_3475
vcfaddinfo,1.0.0_rc1+galaxy0,out_file1,vcf,format_3016
