tool_name,tool_version,input_name,input_extension,input_edam_format
gops_coverage_1,1.0.0,input1,interval,format_3475
gops_coverage_1,1.0.0,input2,interval,format_3475
regex_replace,1.0.0,infile,data,format_1915
tables_arithmetic_operations,1.0.0,inputFile1,tabular,format_3475
tables_arithmetic_operations,1.0.0,inputFile2,tabular,format_3475
gops_merge_1,1.0.0,input1,interval,format_3475
gops_intersect_1,1.0.0,input1,interval,format_3475
gops_intersect_1,1.0.0,input2,interval,format_3475
flanking_features_1,4.0.1,input1,interval,format_3475
flanking_features_1,4.0.1,input2,interval,format_3475
gops_join_1,1.0.0,input1,interval,format_3475
gops_join_1,1.0.0,input2,interval,format_3475
get_flanks1,1.0.0,input,interval,format_3475
subtract_query1,0.1,input2,txt,format_2330
subtract_query1,0.1,input1,txt,format_2330
mergeCols1,1.0.1,input1,tabular,format_3475
bg_uniq,0.3,input,tabular,format_3475
addValue,1.0.0,input,tabular,format_3475
addValue,1.0.0,input,tabular,format_3475
cat1,1.0.0,input1,data,format_1915
cat1,1.0.0,queries|input2,data,format_1915
Cut1,1.0.2,input,txt,format_2330
Convert characters1,1.0.0,input,txt,format_2330
ChangeCase,1.0.0,input,txt,format_2330
Paste1,1.0.0,input1,txt,format_2330
Paste1,1.0.0,input2,txt,format_2330
Remove beginning1,1.0.0,input,txt,format_2330
random_lines1,2.0.2,input,txt,format_2330
Show beginning1,1.0.0,input,txt,format_2330
Show tail1,1.0.0,input,txt,format_2330
trimmer,0.0.1,input1,tabular,format_3475
wc_gnu,1.0.0,input1,txt,format_2330
secure_hash_message_digest,0.0.1,input1,data,format_1915
gffcompare,0.11.2,gffinputs,gtf,format_2306
gffcompare,0.11.2,annotation|ref_source|reference_annotation,gff3,format_1975
gffcompare,0.11.2,seq_data|seq_source|ref_file,fasta,format_1929
filter_by_fasta_ids,2.1,input,fasta,format_1929
filter_by_fasta_ids,2.1,header_criteria|identifiers,txt,format_2330
bg_column_arrange_by_header,0.2,param_input,tabular,format_3475
xpath,1.0.0,input,xml,format_2332
sample_seqs,0.2.5,input_file,fasta,format_1929
seq_filter_by_id,0.2.7,input_file,fasta,format_1929
seq_filter_by_id,0.2.7,id_opts|input_tabular,tabular,format_3475
sqlite_to_tabular,0.0.1,sqlitedb,sqlite,format_3621
find_in_reference,0.0.3,input,tabular,format_3475
find_in_reference,0.0.3,reference,tabular,format_3475
query_tabular,3.0.0,tables|table,tabular,format_3475
Filter1,1.1.0,input,tabular,format_3475
sort1,1.1.0,input,tabular,format_3475
Grep1,1.0.1,input,txt,format_2330
Extract_features1,1.0.0,input1,gff,format_2305
gff_filter_by_attribute,0.2,input,gff,format_2305
gff_filter_by_feature_count,0.1.1,input_file1,gff,format_2305
gtf_filter_by_attribute_values_list,0.1,input,gtf,format_2306
gtf_filter_by_attribute_values_list,0.1,ids,tabular,format_3475
collection_column_join,0.0.3,input_tabular,tabular,format_3475
datamash_ops,1.1.0,in_file,tabular,format_3475
datamash_reverse,1.1.0,in_file,tabular,format_3475
datamash_transpose,1.1.0,in_file,tabular,format_3475
datamash_ops,1.0.6,in_file,tabular,format_3475
gops_subtract_1,1.0.0,input2,interval,format_3475
gops_subtract_1,1.0.0,input1,interval,format_3475
join1,2.1.2,input1,tabular,format_3475
join1,2.1.2,input2,tabular,format_3475
comp1,1.0.2,input1,tabular,format_3475
comp1,1.0.2,input2,tabular,format_3475
Grouping1,2.1.4,input1,tabular,format_3475
gffread,2.2.1.2,input,gff3,format_1975
gffread,2.2.1.2,chr_replace,tabular,format_3475
gffread,2.2.1.2,reference_genome|genome_fasta,fasta,format_1929
tab2fasta,1.1.0,input,tabular,format_3475
fasta2tab,1.1.0,input,fasta,format_1929
tabular_to_fastq,1.0.0,input_file,tabular,format_3475
msms_extractor,1.0.0,spectrumfile,mzml,format_3244
msms_extractor,1.0.0,psmreportfile,tabular,format_3475
bax2bam,0.0.9+galaxy0,files,h5,format_3590
crossmap_wig,0.3.7,input,wig,format_3005
crossmap_wig,0.3.7,chain_source|input_chain,csv,format_3475
crossmap_vcf,0.3.7,seq_source|input,vcf,format_3016
crossmap_vcf,0.3.7,seq_source|chain_source|input_chain,csv,format_3475
crossmap_vcf,0.3.7,seq_source|input_fasta,fasta,format_1929
crossmap_gff,0.3.7,input,gtf,format_2306
crossmap_gff,0.3.7,chain_source|input_chain,csv,format_3475
crossmap_bed,0.3.7,input,bed,format_3003
crossmap_bed,0.3.7,chain_source|input_chain,csv,format_3475
crossmap_bam,0.3.7,input,bam,format_2572
crossmap_bam,0.3.7,chain_source|input_chain,csv,format_3475
graphicsmagick_image_montage,1.3.31+galaxy1,input,jpg,format_3579
graphicsmagick_image_convert,1.3.31+galaxy1,input,jpg,format_3579
thermo_raw_file_converter,1.1.10,input,thermo.raw,format_3712
galaxy_intermine_exchange,0.0.1,input_tabular,txt,format_2330
gfa_to_fa,0.1.0,in_gfa,tabular,format_3475
gffcompare_to_bed,0.2.0,input,gtf,format_2306
idconvert,3.0.0,from|input,pepxml,format_3655
idconvert,3.0.0,from|input,protxml,format_2032
idconvert,3.0.0,from|pepxml,pepxml,format_3655
idconvert,3.0.0,from|input,pepxml,format_3655
msconvert,3.0.19052.0,input,mzml,format_3244
msconvert_subset,0.3.0,type|input,mzml,format_3244
msconvert_subset,0.3.0,type|input,mzxml,format_3654
msconvert_subset,0.3.0,type|input,mgf,format_3651
msconvert_subset,0.3.0,type|input,ms2,format_2330
msconvert_subset,0.3.0,filter|filterList,text,None
idconvert,3.0.0,from|input,pepxml,format_3655
idconvert,3.0.0,from|input,protxml,format_2032
idconvert,3.0.0,from|pepxml,pepxml,format_3655
idconvert,3.0.0,from|input,pepxml,format_3655
mz_to_sqlite,2.0.2,mzinput,mzid,format_3247
mz_to_sqlite,2.0.2,scanfiles,mzml,format_3244
mz_to_sqlite,2.0.2,searchdbs,fasta,format_1929
bed_to_protein_map,0.1.0,input,bed,format_3003
gtftobed12,357,gtf_file,gtf,format_2306
resize_coordinate_window,1.0.1,input,gff,format_2305
ucsc-twobittofa,357,twobit_input,twobit,format_3009
ucsc-twobittofa,357,seqList,txt,format_2330
idpquery,3.0.11392.0,input,idpdb,format_3621
bam_to_scidx,1.0.1,input_bam,bam,format_2572
map_peptides_to_bed,0.1.1,translated_bed,bed,format_3003
map_peptides_to_bed,0.1.1,input,tabular,format_3475
bigwig_to_bedgraph,0.1.0,input,bigwig,format_3006
bp_genbank2gff3,1.0,genbank,genbank,format_1936
axt_to_concat_fasta,1.0.0,axt_input,axt,format_3013
axt_to_fasta,1.0.0,axt_input,axt,format_3013
axt_to_lav_1,1.0.0,align_input,axt,format_3013
bed2gff1,2.0.0,input,bed,format_3003
gff2bed1,1.0.1,input,gff,format_2305
lav_to_bed1,1.0.0,lav_file,lav,format_3014
MAF_To_BED1,1.0.0,input1,maf,format_3008
MAF_To_Interval1,1.0.0,input1,maf,format_3008
MAF_To_Fasta1,1.0.1,input1,maf,format_3008
wiggle2simple1,1.0.0,input,wig,format_3005
Sff_extractor,1.0.1,input,sff,format_3284
gtf2bedgraph,1.0.0,input,gtf,format_2306
wig_to_bigWig,1.1.1,input1,wig,format_3005
bed_to_bigBed,1.0.1,input1,bed,format_3003
liftOver1,1.0.6,input,interval,format_3475
trim_reads,1.0.0,input1,fasta,format_1929
trim_reads,1.0.0,input2,qualsolexa,format_3608
quality_score_distribution,1.0.2,input1,qualsolexa,format_3608
fasta_compute_length,1.0.2,ref|input,fasta,format_1929
fasta_concatenate0,0.0.0,input1,fasta,format_1929
fastq_trimmer,1.1.1,input_file,fastqsanger,format_1932
fastq_quality_trimmer,1.1.1,input_file,fastqsanger,format_1932
fastq_to_fasta_python,1.1.1,input_file,fastq,format_1930
fastq_stats,1.1.1,input_file,fastqsanger,format_1932
fastq_to_tabular,1.1.1,input_file,fastqsanger,format_1932
fastq_combiner,1.1.1,fasta_file,fasta,format_1929
fastq_combiner,1.1.1,qual_file,qual,format_3606
fastq_filter,1.1.1,input_file,fastqsanger,format_1932
fastq_groomer,1.1.1,input_file,fastq,format_1930
fastq_manipulation,1.1.1,input_file,fastqsanger,format_1932
fastq_masker_by_quality,1.1.1,input_file,fastqsanger,format_1932
fastq_paired_end_deinterlacer,1.1.2,input_file,fastqsanger,format_1932
fastq_paired_end_interlacer,1.2.0.1,reads|input1_file,fastqsanger,format_1932
fastq_paired_end_interlacer,1.2.0.1,reads|input2_file,fastqsanger,format_1932
fastq_paired_end_joiner,2.0.1.1,input1_file,fastqsanger,format_1932
fastq_paired_end_joiner,2.0.1.1,input2_file,fastqsanger,format_1932
fastq_paired_end_splitter,1.1.1,input1_file,fastqsanger,format_1932
cshl_fastx_renamer,0.0.14+galaxy0,input,fasta,format_1929
cshl_fastx_reverse_complement,1.0.2,input,fasta,format_1929
cshl_fastx_trimmer,1.0.2,input,fasta,format_1929
cshl_fastq_to_fasta,1.0.2,input,fastqsanger,format_1932
cshl_fastx_quality_statistics,1.0.1,input,fastqsanger,format_1932
cshl_fastq_quality_boxplot,1.0.1,input,txt,format_2330
cshl_fastq_quality_converter,1.0.1,input,fastqsanger,format_1932
cshl_fastq_quality_filter,1.0.2,input,fastqsanger,format_1932
cshl_fasta_formatter,1.0.1,input,fasta,format_1929
cshl_fasta_nucleotides_changer,1.0.2,input,fasta,format_1929
exonerate,2.4.0,query,fasta,format_1929
exonerate,2.4.0,ref_seq|input_fasta,fasta,format_1929
cshl_fastx_collapser,1.0.1,input,fasta,format_1929
fastqc,0.72+galaxy1,input_file,fastq,format_1930
fastqc,0.72+galaxy1,contaminants,tabular,format_3475
fastqc,0.72+galaxy1,adapters,tabular,format_3475
fastqc,0.72+galaxy1,limits,txt,format_2330
fasta_filter_by_length,1.1,input,fasta,format_1929
trimmomatic,0.36.4,readtype|fastq_in,fastqsanger,format_1932
trimmomatic,0.36.4,readtype|fastq_r1_in,fastqsanger,format_1932
trimmomatic,0.36.4,readtype|fastq_r2_in,fastqsanger,format_1932
umi_tools_count,0.5.5.1,input_bam,bam,format_2572
umi_tools_extract,0.5.5.1,input_type|input_single,fastq,format_1930
umi_tools_extract,0.5.5.1,input_type|input_read1,fastq,format_1930
umi_tools_extract,0.5.5.1,input_type|input_read2,fastq,format_1930
umi_tools_extract,0.5.5.1,barcodes|filter_barcode_file,tabular,format_3475
sickle,1.33.2,readtype|input_single,fastq,format_1930
sickle,1.33.2,readtype|input_combo,fastq,format_1930
sickle,1.33.2,readtype|input_paired1,fastq,format_1930
sickle,1.33.2,readtype|input_paired2,fastq,format_1930
seqtk_sample,1.3.2,in_file,fasta,format_1929
umi_tools_group,0.5.5.0,input,sam,format_2573
umi_tools_group,0.5.5.0,gene_transcript_map,tabular,format_3475
umi_tools_whitelist,0.5.5.0,input_type|input_single,fastq,format_1930
umi_tools_whitelist,0.5.5.0,input_type|input_read1,fastq,format_1930
umi_tools_whitelist,0.5.5.0,input_type|input_read2,fastq,format_1930
fastp,0.19.5+galaxy1,single_paired|in1,fastq,format_1930
fastp,0.19.5+galaxy1,single_paired|in2,fastq,format_1930
flash,1.2.11.4,layout|forward,fastqsanger,format_1932
flash,1.2.11.4,layout|reverse,fastqsanger,format_1932
cutadapt,1.16.5,library|input_1,fastq.gz,format_1930
cutadapt,1.16.5,library|input_1,fastqsanger,format_1932
cutadapt,1.16.5,library|input_2,fastqsanger,format_1932
seqtk_comp,1.3.1,in_file,fasta,format_1929
seqtk_comp,1.3.1,in_bed,bed,format_3003
seqtk_mutfa,1.3.1,in_file,fasta,format_1929
seqtk_mutfa,1.3.1,in_snp,tabular,format_3475
seqtk_hety,1.3.1,in_file,fasta,format_1929
seqtk_cutN,1.3.1,in_file,fasta,format_1929
seqtk_mergefa,1.3.1,in_fa1,fasta,format_1929
seqtk_mergefa,1.3.1,in_fa2,fasta,format_1929
seqtk_trimfq,1.3.1,in_file,fasta,format_1929
seqtk_fqchk,1.3.1,in_file,fastq,format_1930
seqtk_randbase,1.3.1,in_file,fasta,format_1929
seqtk_subseq,1.3.1,in_file,fasta,format_1929
seqtk_subseq,1.3.1,source|in_bed,bed,format_3003
seqtk_subseq,1.3.1,source|name_list,txt,format_2330
seqtk_dropse,1.3.1,in_file,fasta,format_1929
seqtk_mergepe,1.3.1,in_fq1,fasta,format_1929
seqtk_mergepe,1.3.1,in_fq2,fasta,format_1929
seqtk_seq,1.3.3,in_file,fasta,format_1929
seqtk_seq,1.3.3,M,bed,format_3003
seqtk_listhet,1.3.1,in_file,fasta,format_1929
mqc,1.9,inputtypeSelect|samfile,sam,format_2573
mqc,1.9,inputtypeSelect|bamfile,bam,format_2572
mqc,1.9,offsetSelect|offsetFile,tabular,format_3475
fasta-stats,1.0.1,dataset,fasta,format_1929
filtlong,0.2.0,input_file,fastqsanger,format_1932
cshl_fastx_clipper,1.0.3,input,fasta,format_1929
cshl_fastx_nucleotides_distribution,1.0.1,input,txt,format_2330
cshl_fastx_barcode_splitter,1.0.1,BARCODE,txt,format_2330
cshl_fastx_barcode_splitter,1.0.1,input,fasta,format_1929
cshl_fastx_barcode_splitter,1.0.1,refBarcodeLocation|idxfile,fasta,format_1929
cshl_fastx_artifacts_filter,1.0.1,input,fasta,format_1929
bctools_extract_crosslinked_nucleotides,0.2.1,alignment_coordinates,bed,format_3003
fasplit,357,input,fasta,format_1929
atactk_trim_adapters,0.1.6,input1,fastq,format_1930
atactk_trim_adapters,0.1.6,input2,fastq,format_1930
bctools_convert_to_binary_barcode,0.2.2,barcodes,fastq,format_1930
bctools_extract_barcodes,0.2.2,reads,fastq,format_1930
bctools_extract_alignment_ends,0.2.2,alignments,sam,format_2573
bctools_merge_pcr_duplicates,0.2.2,alignments_bed,bed,format_3003
bctools_merge_pcr_duplicates,0.2.2,barcode_library,fastq,format_1930
bctools_remove_spurious_events,0.2.2,events,bed,format_3003
bctools_remove_tail,0.2.2,reads_fastq,fastq,format_1930
je_clip,1.2.1,library|input_1,fastq,format_1930
je_clip,1.2.1,library|input_2,fastq,format_1930
je_demultiplex,1.2.1,library|input_1,fastq,format_1930
je_demultiplex,1.2.1,library|input_2,fastq,format_1930
je_demultiplex,1.2.1,barcodes|BARCODE_FILE,tabular,format_3475
je_markdupes,1.2.1,inputFile,bam,format_2572
je_markdupes,1.2.1,barcodes|BARCODE_FILE,tabular,format_3475
je_demultiplex_illu,1.2.1,library|input_1,fastq,format_1930
je_demultiplex_illu,1.2.1,library|I1,fastq,format_1930
je_demultiplex_illu,1.2.1,library|input_2,fastq,format_1930
je_demultiplex_illu,1.2.1,library|I2_CONDITIONAL|I2,fastq,format_1930
je_demultiplex_illu,1.2.1,barcodes|BARCODE_FILE,tabular,format_3475
umi_tools_dedup,0.5.3.0,input,sam,format_2573
umi_tools_dedup,0.5.3.0,gene_transcript_map,tabular,format_3475
tabular_to_fastq,1.1.1,input_file,tabular,format_3475
fasta_merge_files_and_filter_unique_sequences,1.2.0,batchmode|input_fastas|input_fasta,fasta,format_1929
fasta_merge_files_and_filter_unique_sequences,1.2.0,batchmode|input_fastas,fasta,format_1929
align_back_trans,0.0.10,prot_align,fasta,format_1929
align_back_trans,0.0.10,nuc_file,fasta,format_1929
seq_filter_by_mapping,0.0.6,input_file,fasta,format_1929
seq_filter_by_mapping,0.0.6,mapping_file,sam,format_2573
trim_galore,0.4.3.1,singlePaired|input_singles,fastqsanger,format_1932
trim_galore,0.4.3.1,singlePaired|input_mate1,fastqsanger,format_1932
trim_galore,0.4.3.1,singlePaired|input_mate2,fastqsanger,format_1932
lighter,1.0,r,data,format_1915
fastq_join,1.1.2-806,read1,fastq,format_1930
fastq_join,1.1.2-806,read2,fastq,format_1930
rbc_splitfasta,0.2.0,inputFile,fasta,format_1929
solid2fastq,1.0.0,input1,csfasta,format_3589
solid2fastq,1.0.0,input2,qualsolid,format_3610
solid2fastq,1.0.0,is_run|input3,csfasta,format_3589
solid2fastq,1.0.0,is_run|input4,qualsolid,format_3610
solid_qual_stats,1.0.0,input,qualsolid,format_3610
solid_qual_boxplot,1.0.0,input,txt,format_2330
fastqc,0.72+galaxy1,input_file,fastq,format_1930
fastqc,0.72+galaxy1,contaminants,tabular,format_3475
fastqc,0.72+galaxy1,adapters,tabular,format_3475
fastqc,0.72+galaxy1,limits,txt,format_2330
multiqc,1.7,results|software_cond|input,txt,format_2330
multiqc,1.7,results|software_cond|output|input,txt,format_2330
multiqc,1.7,results|software_cond|input,txt,format_2330
multiqc,1.7,results|software_cond|input,json,format_3464
multiqc,1.7,results|software_cond|input,txt,format_2330
multiqc,1.7,results|software_cond|input,txt,format_2330
multiqc,1.7,results|software_cond|input,tabular,format_3475
multiqc,1.7,results|software_cond|output|type|input,txt,format_2330
multiqc,1.7,results|software_cond|output|type|input,txt,format_2330
multiqc,1.7,results|software_cond|output|type|input,txt,format_2330
multiqc,1.7,results|software_cond|output|type|input,csv,format_3475
multiqc,1.7,results|software_cond|input,csv,format_3475
multiqc,1.7,results|software_cond|output|type|input,tabular,format_3475
multiqc,1.7,results|software_cond|output|type|input,tabular,format_3475
trimmomatic,0.36.5,readtype|fastq_in,fastqsanger,format_1932
trimmomatic,0.36.5,readtype|fastq_r1_in,fastqsanger,format_1932
trimmomatic,0.36.5,readtype|fastq_r2_in,fastqsanger,format_1932
fastq_stats,1.1.1,input_file,fastqsanger,format_1932
multiqc,1.7,results|software_cond|input,txt,format_2330
multiqc,1.7,results|software_cond|output|input,txt,format_2330
multiqc,1.7,results|software_cond|input,txt,format_2330
multiqc,1.7,results|software_cond|input,json,format_3464
multiqc,1.7,results|software_cond|input,txt,format_2330
multiqc,1.7,results|software_cond|input,txt,format_2330
multiqc,1.7,results|software_cond|input,tabular,format_3475
multiqc,1.7,results|software_cond|output|type|input,txt,format_2330
multiqc,1.7,results|software_cond|output|type|input,txt,format_2330
multiqc,1.7,results|software_cond|output|type|input,txt,format_2330
multiqc,1.7,results|software_cond|output|type|input,csv,format_3475
multiqc,1.7,results|software_cond|input,csv,format_3475
multiqc,1.7,results|software_cond|output|type|input,tabular,format_3475
multiqc,1.7,results|software_cond|output|type|input,tabular,format_3475
qualimap_counts,2.2.2c,input,tsv,format_3475
qualimap_counts,2.2.2c,analysis|gene_info|info,tsv,format_3475
samtools_fixmate,1.9,bamfile,sam,format_2573
samtools_fastx,1.9+galaxy1,input,sam,format_2573
samtools_merge,1.9,bamfiles,sam,format_2573
samtools_merge,1.9,headerbam,sam,format_2573
samtools_markdup,1.9+galaxy2,bamfile,sam,format_2573
qualimap_bamqc,2.2.2c+galaxy1,input1,bam,format_2572
qualimap_bamqc,2.2.2c+galaxy1,stats_regions|regions,gff,format_2305
samtools_view,1.9,input,sam,format_2573
samtools_view,1.9,cond_filter|cond_region|bedfile,bed,format_3003
samtools_view,1.9,cond_filter|cond_rg|rgfile,tabular,format_3475
samtools_view,1.9,addref_cond|ref,fasta,format_1929
samtools_stats,2.0.2+galaxy2,input,sam,format_2573
samtools_stats,2.0.2+galaxy2,addref_cond|ref,fasta,format_1929
samtools_stats,2.0.2+galaxy2,cond_region|targetregions,tabular,format_3475
samtools_flagstat,2.0.3,input1,sam,format_2573
samtools_idxstats,2.0.3,input,bam,format_2572
samtool_filter2,1.8+galaxy1,input1,sam,format_2573
samtool_filter2,1.8+galaxy1,bed_file,bed,format_3003
samtools_split,1.9,input_bam,bam,format_2572
samtools_split,1.9,header,bam,format_2572
samtools_bedcov,2.0.2,input_bed,bed,format_3003
samtools_bedcov,2.0.2,input_bams,bam,format_2572
samtools_depth,1.9,input_bams,bam,format_2572
samtools_depth,1.9,cond_region|input_bed,bed,format_3003
samtools_sort,2.0.3,input1,sam,format_2573
samtools_calmd,2.0.2,input_bam,bam,format_2572
samtools_calmd,2.0.2,reference_source|ref_fasta,fasta,format_1929
samtools_mpileup,2.1.4,reference_source|input_bam,bam,format_2572
samtools_mpileup,2.1.4,reference_source|ref_file,fasta,format_1929
samtools_mpileup,2.1.4,advanced_options|limit_by_region|bed_regions,bed,format_3003
samtools_mpileup,2.1.4,advanced_options|exclude_read_group|read_groups,txt,format_2330
samtools_rmdup,1.0.1,input1,bam,format_2572
ngsutils_bam_filter,0.5.9,infile,bam,format_2572
ngsutils_bam_filter,0.5.9,excludebed,bed,format_3003
ngsutils_bam_filter,0.5.9,includebed,bed,format_3003
samtools_phase,2.0.1,input_bam,bam,format_2572
bam_to_sam,2.0.1,input1,bam,format_2572
samtools_reheader,2.0.1,input_header,sam,format_2573
samtools_reheader,2.0.1,input_file,bam,format_2572
samtools_slice_bam,2.0.1,input_bam,bam,format_2572
samtools_slice_bam,2.0.1,slice_method|input_interval,bed,format_3003
samtools_rmdup,2.0.1,input1,bam,format_2572
bamFilter,2.4.1,input_bam,bam,format_2572
bamSplit,2.4.0,input_bams,bam,format_2572
bamtools,2.4.0,input_bams,bam,format_2572
bamtools,2.4.0,analysis_type|format_type|reference_source|ref_file,fasta,format_1929
sam_to_bam,2.1.1,source|input1,sam,format_2573
sam_to_bam,2.1.1,source|ref_file,fasta,format_1929
tag_pileup_frequency,1.0.0,input1,bam,format_2572
tag_pileup_frequency,1.0.0,input2,bed,format_3003
pileup_interval,1.0.2,input,tabular,format_3475
sam_merge2,1.2.0,inputs,bam,format_2572
bamhash,1.1,tool|input_bam,bam,format_2572
bamhash,1.1,tool|input_fasta,fasta,format_1929
bamhash,1.1,tool|input_fastq,fastq,format_1930
samtools_sort,1.0.2,input1,bam,format_2572
sam_pileup,1.1.2,refOrHistory|input1,bam,format_2572
sam_pileup,1.1.2,refOrHistory|ownFile,fasta,format_1929
samtools_filter,1.1.1,input1,sam,format_2573
samtools_filter,1.1.1,bed_file,bed,format_3003
gffcompare,0.11.2,gffinputs,gtf,format_2306
gffcompare,0.11.2,annotation|ref_source|reference_annotation,gff3,format_1975
gffcompare,0.11.2,seq_data|seq_source|ref_file,fasta,format_1929
